,date,blk,age_days,age_sply,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,PriceBTC,PriceUSD,PriceRealUSD,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,notes
418,2017-04-01 00:00:00+00:00,120849.0,418.0,0.2378314282267152,432576.0,7813.633221549913,101331.78396893901,0.57102792494071,1.7512278407467206,7100.0,308.0,2280027.0,7402.68506494,3.0158733,64771090.05221246,21476727.831544623,3737264.87357123,0.00943848859896568,0.12240386265711724,0.0033,0.04279633783874592,20.07566525,260.35301587168834,0.011902976012273508,12.9685872238624,4.300110094519335,4994459.99276102,3640.0,6234.0,30431.99868581,394660.0293533929,13.56850544,175.96434629609146,0.99760833,12.937570642856706,84586.06293147,1096961.735049883,
419,2017-04-02 00:00:00+00:00,121141.0,419.0,0.23818801174777426,432720.0,7488.25394224003,83553.76033490966,0.5464296218416589,1.8300618415042185,9280.0,292.0,2625808.0,8992.49315068,2.55476291,55811620.20363402,21846105.588557404,4165218.61489254,0.00967436633153038,0.10794635065688031,0.00419,0.04675192087550196,30.40653338,339.275380114575,0.010092574361776742,11.1579763426019,4.367519316689448,5001948.24670326,4593.0,6888.0,42200.29639246,470869.908797857,22.56181713,251.7442217826503,1.506069835,16.80469158923635,155405.79641892,1734014.1999455164,
420,2017-04-03 00:00:00+00:00,121421.0,420.0,0.23852785697133955,432864.0,7136.749694870785,76875.93638297726,0.5200378193823713,1.9229370686687004,9618.0,280.0,2946077.0,10521.70357143,2.43608306,53957069.532196976,22149109.148517072,4139988.64718447,0.0250911453685168,0.2702778404169681,0.0055,0.0592451281302826,82.72550628,891.1060398547451,0.009410476980713112,10.7718414782332,4.421787445101006,5009084.99639813,4679.0,8004.0,91990.49910019,990907.0738108006,25.27792422,272.2897925966316,5.20562066,56.07412054533569,202324.50547406,2179407.5001284997,
421,2017-04-04 00:00:00+00:00,121719.0,421.0,0.23889034900199618,433008.0,7612.332643789239,76231.52666078742,0.5538507174626989,1.8055406781473542,8619.0,298.0,3410860.0,11445.83892617,2.2359194,50238279.65531407,22468734.60467557,4039966.17502502,0.0591356291165501,0.5921968335525535,0.054,0.5407675455487482,253.69184891,2540.524415940455,0.008769613440677964,10.0142138064583,4.47879015435173,5016697.32904192,5764.0,9444.0,82055.14078891,821717.7237791822,23.84660077,238.80495866803312,5.0301445,50.37294250038028,225207.29762719,2255274.02921337,
422,2017-04-05 00:00:00+00:00,122005.0,422.0,0.2392400530757124,433152.0,7343.785548040643,75582.40349154538,0.5335310089821197,1.8743053040306288,9344.0,286.0,3006321.0,10511.61188811,2.26356349,51707542.41078911,22843424.856482055,4120068.43345907,0.0170455038580442,0.1754327031865909,0.00419,0.0431235727892503,54.03424723,556.121669101492,0.009061381085330241,10.2920221454058,4.546822833544114,5024041.11458996,4592.0,8751.0,112158.13839538,1154334.0441527395,26.33711663,271.0621876020954,4.56855751,47.01969506547998,230476.10761574,2372065.2035681265,
423,2017-04-06 00:00:00+00:00,122285.0,423.0,0.2395816303889676,433296.0,7173.123578359373,70087.72907811974,0.5203893100474207,1.9216382440847497,9659.0,280.0,3154985.0,11267.80357143,2.12814352,49159390.13271147,23099659.270125236,4412281.96065937,0.0164198048506151,0.1604359413739144,0.00585,0.0571596474852282,65.40008272,639.0163544923015,0.008179230597311512,9.77087991200482,4.591269259592288,5031214.23816832,5372.0,7788.0,57404.57297553,560893.1889438209,22.91358325,223.88587028947512,2.769894525,27.064306772694632,178450.98637358,1743623.1580350588,
424,2017-04-07 00:00:00+00:00,122574.0,424.0,0.23993453051891764,433440.0,7410.902728950605,66481.04762557783,0.5368487276640851,1.8627221197881205,8143.0,289.0,2553038.0,8834.04152249,1.93642457,45200037.05498073,23342007.586441055,4088181.41280389,0.0476970088846448,0.427875959951601,0.00419,0.03758726834492065,124.87076926,1120.1792631532908,0.007527457991817647,8.97070843554192,4.632614440193173,5038625.14089727,4053.0,9376.0,112688.1897175,1010892.8940847255,20.39091618,182.92096378435423,5.004469,44.893632273708036,191185.23006116,1715066.9560606708,
425,2017-04-08 00:00:00+00:00,122869.0,425.0,0.24029489605591287,433584.0,7567.676276899874,85319.71080506047,0.5473833325725485,1.8268733088752993,10251.0,295.0,3592393.0,12177.60338983,2.36789138,56891930.37261442,24026410.494501926,4120085.44595514,0.0966945107256711,1.090155998973399,0.03925,0.4425134647105268,461.03942714,5197.86380310517,0.009518794093220354,11.2742284002682,4.761294576919583,5046192.81717417,6234.0,11091.0,83442.45139903,940749.2553509431,19.09918458,215.32856921380048,5.95733709,67.16437901004912,211829.05615425,2388209.160896253,
426,2017-04-09 00:00:00+00:00,123210.0,426.0,0.24070295684732856,433728.0,8569.276619729586,104219.31253750592,0.6187800549587704,1.6160831170723988,12569.0,341.0,4640155.0,13607.49266862,2.47609053,61475881.084635615,24827800.297070038,4721938.16290181,0.122728842709201,1.4926248951081533,0.0079,0.0960795882292662,648.25374719,7884.04469596127,0.010021119870251257,12.161973193578,4.911764359306433,5054762.0937939,6959.0,16626.0,128491.68198245,1562712.391868306,18.1192848,220.36625602440532,7.240408505,88.05765414836416,301251.22910518,3663809.3729096237,
427,2017-04-10 00:00:00+00:00,123456.0,427.0,0.24100018955681668,433872.0,6241.8868992505595,75217.71519857614,0.4501653677645244,2.2214058912747965,7502.0,246.0,2574402.0,10465.04878049,2.40956213,60987512.61967659,25310620.440592613,5692668.37899126,0.0928789941316334,1.119236192722785,0.00621,0.07483346284906908,269.53484097,3248.02343128152,0.009945510948275864,12.0504771093509,5.001106605951749,5061003.98069315,4123.0,7134.0,48496.4140955,584404.9279434251,15.47237202,186.44946485437134,1.37314217,16.547018287469424,110379.90201241,1330130.482532942,
