,date,blk,age_days,age_sply,CapMrktCurUSD,CapRealUSD,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,DiffMean,notes,PoW_income_btc,PoW_income_usd
3705,2019-02-25 00:00:00+00:00,564661.0,3705.0,0.8360996346159514,67107357151.37915,76601286647.1735,3822.01869666861,4362.73401579415,1787.4999945387244,6831858.399422043,336764.0,696499.0,354442.97188887,1354687665.4620476,1.23767296885034,4730.409227307346,0.01574,60.15857428556392,862037.98513129,3294725296.4103274,39.63579312,151488.74236192906,26.911531572877863,0.037158791846980045,17558092.32693498,6071846049920.75,,1787.4999945387244,6831858.399422043
3706,2019-02-26 00:00:00+00:00,564822.0,3706.0,0.8361954679490248,66661232142.14775,76590696886.35202,3796.17506838106,4361.630960704482,2012.4999945424497,7639802.304399068,366379.0,735532.0,313268.37018089,1189221576.5930634,1.07855920123233,4094.399549491162,0.01538937,58.42074271209143,793314.80640082,3011561889.4363403,35.73293876,135648.49124069922,23.90552863037451,0.041831327617218805,17560104.82692952,6071846049920.75,,2012.4999945424497,7639802.304399068
3707,2019-02-27 00:00:00+00:00,564963.0,3707.0,0.8362793965201577,66724242474.867226,76572332850.93486,3799.3819924021,4360.147552962392,1762.499993789941,6696410.738014315,346851.0,711774.0,326337.53769861,1239880964.1769402,1.15880516315297,4402.743469585972,0.01555,59.080389981852655,824807.38619804,3133758330.3210773,32.42938675,123211.62804259326,27.299123503431776,0.03663121271546648,17561867.32692331,6071846049920.75,,1762.499993789941,6696410.738014315
3708,2019-02-28 00:00:00+00:00,565113.0,3708.0,0.8363686822341833,66618356465.697655,76544606872.42699,3792.94772296902,4358.103497972423,1874.9999945387244,7111776.95985258,363432.0,719452.0,415984.02065693,1577805643.9422004,1.25168241533049,4747.565967108145,0.01573974,59.7000109931244,900525.41707435,3415645830.167883,30.13119001,114286.02853877639,25.663915803580515,0.03896521511578854,17563742.32691785,6071846049920.75,,1874.9999945387244,7111776.95985258
3709,2019-03-01 00:00:00+00:00,565275.0,3709.0,0.8364651108053518,66936687246.14098,76534627558.10912,3810.63269257744,4357.032979757791,2024.9999945387244,7716531.181658401,358837.0,755671.0,293767.25998898,1119439124.9229038,1.01389894444364,3863.596464666692,0.013285695,50.62690371061263,766174.02924667,2919607804.0511446,30.69616759,116971.81975529005,23.765624724215748,0.042077581027401306,17565767.32691239,6071846049920.75,,2024.9999945387244,7716531.181658401
3710,2019-03-02 00:00:00+00:00,565407.0,3710.0,0.8365436822339233,66925595316.40048,76520070480.07571,3809.64339099942,4355.795109554941,1650.0,6285911.595149043,333961.0,664990.0,228341.0005379,869897783.5934057,0.95085862565819,3622.432279013515,0.015,57.1446508649913,632311.47747644,2408881241.221198,24.75996191,94326.62525182888,29.169642717994837,0.03428221626393446,17567417.32691239,6071846049920.75,,1650.0,6285911.595149043
3711,2019-03-03 00:00:00+00:00,565553.0,3711.0,0.836630586995828,66453583651.36554,76516699927.97804,3782.38187025132,4355.150808681746,1825.0,6902846.913208659,355233.0,642524.0,179507.76599615,678966919.6731541,1.75298396476146,6630.454767155025,0.01287177,48.685949486044834,1126334.26897439,4260226318.8115067,21.51558757,81380.16835257265,26.375293416269297,0.03791427015493073,17569242.32691239,6071846049920.75,,1825.0,6902846.913208659
3712,2019-03-04 00:00:00+00:00,565690.0,3712.0,0.8367121346146158,64980234897.770874,76440538637.1886,3698.16185505552,4350.3918478085725,1712.4999945424497,6333102.156599673,298916.0,647648.0,283721.56865766,1049248282.666274,1.42019354821829,5252.105606816833,0.01604828,59.3491369352504,919785.51111648,3401515692.043711,28.47943824,105321.57215257752,28.110716740971732,0.0355736215911737,17570954.82690693,6071846049920.75,,1712.4999945424497,6333102.156599673
3713,2019-03-05 00:00:00+00:00,565839.0,3713.0,0.8368008250905462,67481868718.641136,76454333050.53728,3840.1280490941,4350.715746273458,1862.4999945387244,7152238.4704657635,286974.0,674295.0,308423.48035205,1184385657.8991303,1.31960052008244,5067.43497076774,0.0156,59.90599756586796,889800.03268899,3416946063.6138377,29.52705767,113387.68236578608,25.849506118862166,0.03868545864674407,17572817.32690147,6071846049920.75,,1862.4999945387244,7152238.4704657635
3714,2019-03-06 00:00:00+00:00,565967.0,3714.0,0.8368770155667367,67696627871.9912,76444603156.07394,3851.99842548218,4349.766011249707,1600.0,6163197.4807714885,276931.0,635535.0,311734.95787179,1200802566.8898888,1.22840211746651,4731.803022339973,0.01716061,66.10264270031375,780692.53972408,3007226433.80284,38.61010643,148726.0691760594,30.093180354283337,0.03323012018760138,17574417.32690147,6071846049920.75,,1600.0,6163197.4807714885
3715,2019-03-07 00:00:00+00:00,566109.0,3715.0,0.8369615393760006,67772447204.172585,76441681909.51135,3855.92316832262,4349.160528502882,1774.9999945424497,6844263.602728755,284201.0,654802.0,299688.38558949,1155575389.2717173,1.20347851793907,4640.52069989983,0.015221015,58.69106438388612,788040.14050354,3038622235.3358126,37.80854653,145786.8505256308,27.128986889349203,0.03686094154856179,17576192.32689601,6071846049920.75,,1774.9999945424497,6844263.602728755
3716,2019-03-08 00:00:00+00:00,566255.0,3716.0,0.8370484441379054,67486113914.75439,76414756802.85239,3839.23355289304,4347.17723744251,1825.0,7006601.234029798,281209.0,661530.0,311744.10014326,1196858409.1864517,1.10888254112656,4257.259058110386,0.01333,51.176983260064226,733559.06743145,2816304584.711751,34.31245624,131733.53327878215,26.388466619472336,0.037895343235369694,17578017.32689601,6071846049920.75,,1825.0,7006601.234029798
3717,2019-03-09 00:00:00+00:00,566393.0,3717.0,0.8371305869940081,68743141713.30267,76418847853.71782,3910.36116656926,4346.983387628853,1724.999978158623,6745372.926924301,242010.0,563665.0,216004.57139537,844655887.785892,1.02826958810873,4020.905466104546,0.0145,56.70023691525427,579599.57738131,2266443679.5518293,24.66941988,96466.3415005437,27.920972879830106,0.03581537091504402,17579742.32687417,6071846049920.75,,1724.999978158623,6745372.926924301
3718,2019-03-10 00:00:00+00:00,566529.0,3718.0,0.8372115393749605,68636402814.046906,76410854219.84615,3903.9119509059,4346.108402212718,1700.0,6636650.31654003,213175.0,484251.0,181388.76573927,708125770.3296068,0.990240525931882,3865.811823456818,0.01282598,50.07149660408005,479524.96492304,1872023241.3207884,19.09289678,74536.98791685478,28.33431478948295,0.035292895114272436,17581442.32687417,6071107422859.69,,1700.0,6636650.31654003
3719,2019-03-11 00:00:00+00:00,566671.0,3719.0,0.8372960631842242,67722973399.369606,76380484632.46265,3851.56892168323,4343.942477224946,1774.9999945387244,6836534.814953255,295205.0,682623.0,286685.31238739,1104188239.4943197,1.05914729126228,4079.378790510774,0.0164,63.165730315604975,722998.30140333,2784677788.1148305,30.91768148,119081.58111886917,27.139830030435363,0.036846214544401054,17583217.32686871,6068891541676.54,,1774.9999945387244,6836534.814953255
3720,2019-03-12 00:00:00+00:00,566814.0,3720.0,0.8373811822318433,67859035802.774185,76348359914.79874,3858.91482378726,4341.674094859704,1787.5,6897810.247519728,283351.0,655426.0,330294.32925082,1274577683.3588593,1.1546179711256,4455.572404587749,0.015969955,61.62669608471547,756766.63834297,2920297998.849339,31.60142277,121947.19877992125,26.9527806523517,0.037101923281995304,17585004.82686871,6068891541676.54,,1787.5,6897810.247519728
3721,2019-03-13 00:00:00+00:00,566949.0,3721.0,0.8374615393744406,67743190817.63356,76341560088.37895,3851.95746639392,4340.87085106783,1687.4999945424497,6500178.203517489,289611.0,649478.0,299484.98611057,1153603428.3214896,1.16240547191069,4477.53643650353,0.01584529,61.03538312267692,754956.78108561,2908061409.7074356,36.75807301,141590.53378112233,28.552722287148356,0.03502293021110993,17586692.32686325,6068891541676.54,,1687.4999945424497,6500178.203517489
3722,2019-03-14 00:00:00+00:00,567104.0,3722.0,0.8375538012789161,67782767281.89608,76324730581.6973,3853.78326504968,4339.435836278278,1937.4999939873815,7466705.052862426,296141.0,683149.0,333891.46130875,1286745325.9346435,1.24268580677927,4789.041765880711,0.01561167,60.16399258547814,848939.56621545,3271629093.319636,36.58198234,140979.03134423494,24.87123977932275,0.0402070829147557,17588629.82685724,6068891541676.54,,1937.4999939873815,7466705.052862426
3723,2019-03-15 00:00:00+00:00,567257.0,3723.0,0.8376448727072277,68636787012.15806,76321922538.32098,3901.91420689655,4338.804405240898,1912.4999945424497,7462410.899394758,296890.0,693632.0,292253.97551962,1140349939.102002,1.07398056878751,4190.580039282822,0.01406802,54.892207100904805,744947.28988922,2906720413.8078303,30.93583876,120708.98875990495,25.199093744540818,0.039683966817919476,17590542.32685178,6068891541676.54,,1912.4999945424497,7462410.899394758
